,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR_price,Country,City,Engine Type,Condition,age_group,Price_groub,Views Performance
5480,Flybridge,Bavaria power boats,"new boat from stock,Diesel",2018,10.28,3.59,GRP,107,175900.0,Italy, Moniga del Garda (BS),Diesel,new,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5481,Sport Boat,Frauscher power boats,"new boat from stock,Unleaded",2020,8.67,2.51,GRP,214,175848.0,Switzerland, Lake Constance ,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Good (more than 170)
5482,Flybridge,van Wijk power boats,"Used boat,Diesel",1988,15.0,4.85,Steel,367,193800.0,Switzerland, Neuenburgersee ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Good (more than 170)
5483,Cabin Boat,Windy power boats,"Used boat,Diesel",2003,12.26,3.41,GRP,646,193800.0,Other, Thal / St.Gallen,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5484,Motor Yacht,Monterey power boats,"new boat from stock,Unleaded",2017,10.7,3.4,GRP,131,193698.0,Switzerland, 3421 Lyssach,Unleaded,new,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5486,Trawler,Menorquin power boats,"Used boat,Diesel",2008,12.67,3.96,GRP,55,175000.0,Italy, Friuli Venezia Giulia ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5487,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",1999,15.0,4.0,GRP,87,175000.0,Croatia(Hrvatska), Kvarner,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5488,Hardtop,Di Donna power boats,"Used boat,Diesel",2007,11.35,4.14,GRP,29,175000.0,Italy, Lazio ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5489,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2003,13.95,4.3,GRP,36,175000.0,Other, Algarve,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5492,Classic,Canados power boats,"Used boat,Diesel",1977,18.3,5.3,Wood,73,175000.0,Italy, Veneto ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5493,Hardtop,Jeanneau power boats,"Used boat,Diesel",2011,11.15,3.74,GRP,56,175000.0,Italy, Sardegna ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5494,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2000,16.0,4.72,GRP,139,175000.0,Croatia(Hrvatska), Kvarner,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5495,Flybridge,Conam power boats,"Used boat,Diesel",1999,18.45,4.4,GRP,174,175000.0,Italy, Emilia Romagna ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Good (more than 170)
5498,Motor Yacht,Pershing power boats,"Used boat,Diesel",2002,13.78,4.14,GRP,72,175000.0,Croatia(Hrvatska),None,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5499,Deck Boat,Rapsody power boats,Used boat,2019,9.0,2.62,GRP,91,175000.0,Netherlands, In verkoophaven,,Used,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5500,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2003,13.68,4.3,GRP,41,175000.0,Other, Algarve,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5501,Pilothouse,Jeanneau power boats,Used boat,2019,9.95,2.99,GRP,123,175000.0,Italy, Campania ,,Used,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5502,Cabin Boat,Sea Ray power boats,"Used boat,Diesel",2008,11.88,3.81,Carbon Fiber,107,175000.0,Other," Lavrio, Greece ",Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5503,Motor Yacht,Katwijker power boats,"Used boat,Diesel",1911,22.17,3.8,Steel,89,175000.0,Other, Gent,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5504,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2007,14.0,4.1,GRP,277,175000.0,Spain, Ibiza y Formentera ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5505,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2007,13.85,4.13,GRP,75,175000.0,Spain, Informationen BCM-Yachtsales,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5506,Trawler,Vri-Jon power boats,Used boat,2000,13.85,4.1,Steel,97,174900.0,Netherlands, in onze showroom,,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5507,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2008,13.0,4.0,GRP,139,174900.0,Croatia(Hrvatska), Kvarner,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5508,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2015,10.28,3.59,GRP,113,174900.0,Spain, Mallorca ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5509,Hardtop,Galeon power boats,"Used boat,Diesel",2013,9.98,3.3,PVC,72,174900.0,Other,None,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5511,Trawler,Privateer power boats,Used boat,2005,12.5,4.0,Steel,60,174500.0,Netherlands," Niet in verkoophaven, bezichtiging op afspraak",,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5512,Flybridge,Sea Ray power boats,"Used boat,Diesel",2001,16.46,4.72,GRP,130,174500.0,Italy, I West,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5513,Trawler,Valk power boats,Used boat,1998,14.5,4.25,Steel,101,174500.0,Netherlands, Leidschendam,,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5515,Motor Yacht,Monterey power boats,"Used boat,Unleaded",2011,10.7,3.4,GRP,174,190638.0,Switzerland, Bielersee ,Unleaded,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5516,Flybridge,Sealine power boats,Used boat,2001,13.41,4.16,GRP,140,174000.0,Netherlands, Niederlande,,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5517,Flybridge,Princess power boats,"Used boat,Diesel",2000,13.65,4.27,GRP,211,174000.0,Spain, Mallorca ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Good (more than 170)
5518,Sport Boat,Aquador power boats,"new boat from stock,Diesel",2020,8.25,3.05,GRP,160,191739.6,Switzerland, Vierwaldst¤ttersee ,Diesel,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5519,Hardtop,Jeanneau power boats,"new boat from stock,Unleaded",2020,10.45,3.37,GRP,59,173560.0,France," LA GRANDE MOTTE, France",Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Low (less than 70)
5520,Sport Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,9.23,3.0,PVC,43,173455.0,Other,None,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Low (less than 70)
5521,Hardtop,Galeon power boats,"new boat on order,Diesel",2020,10.4,2.99,GRP,284,173320.0,Germany, Lake Constance ,Diesel,new,Modern (built after 2018),Expensive (more than 250000),Good (more than 170)
5522,Flybridge,Galeon power boats,"Used boat,Diesel",2006,11.76,3.74,GRP,245,173000.0,Germany, Baden-W¼rttemberg ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5523,Cabin Boat,Regal power boats,"new boat from stock,Unleaded",2021,8.78,2.6,GRP,325,190552.32,Switzerland, Lake of Zurich ,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Good (more than 170)
5524,Motor Yacht,Nimbus power boats,"new boat from stock,Unleaded",2019,9.35,2.95,GRP,145,172700.0,Netherlands, Lelystad,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5526,Motor Yacht,Azimut power boats,"Used boat,Diesel",2003,12.99,4.16,GRP,131,172000.0,Italy, Ligurien,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5527,Hardtop,Elan power boats,"Used boat,Diesel",2006,13.1,3.9,GRP,289,172000.0,Germany, Nordsee ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5528,Hardtop,Jeanneau power boats,"Used boat,Unleaded",2019,10.5,3.32,PVC,102,172000.0,France," VILLENEUVE LOUBET, France",Unleaded,Used,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5529,Cabin Boat,Jeanneau power boats,"new boat from stock,Unleaded",0,11.95,3.58,GRP,44,171360.0,Germany, 2,Unleaded,new,,Expensive (more than 250000),Low (less than 70)
5530,Wakeboard/Wakesurf,MasterCraft power boats,"Display Model,Unleaded",2019,6.8,2.5,GRP,605,188700.0,Switzerland, Uznach,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Good (more than 170)
5531,Runabout,Need Yacht power boats,Used boat,2015,9.99,2.97,GRP,409,188700.0,Switzerland, Lago Maggiore ,,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5533,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2007,15.11,4.45,PVC,65,170000.0,Spain, Mallorca ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5535,Motor Yacht,Cayman power boats,"Used boat,Diesel",2008,13.9,4.25,GRP,37,170000.0,Italy, Sardegna ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5536,Offshore Boat,Performance power boats,"Used boat,Unleaded",2006,10.97,3.0,GRP,127,170000.0,Italy," Lombardy, Soiano del Lago",Unleaded,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5537,Wakeboard/Wakesurf,Nautique power boats,"Used boat,Unleaded",2018,7.62,2.59,GRP,155,170000.0,Other, Tallinn,Unleaded,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5539,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2011,14.99,4.41,GRP,404,170000.0,Spain, Mallorca ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5540,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2014,10.8,3.59,GRP,220,170000.0,Germany, Brandenburg ,Unleaded,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5541,Flybridge,Azimut power boats,"Used boat,Diesel",1998,14.5,4.42,GRP,131,170000.0,Italy, Mar Tirreno,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5543,Flybridge,Azimut power boats,"Used boat,Diesel",2000,12.99,4.16,GRP,242,169900.0,Croatia(Hrvatska), INFO BOOTE RIEDL NOVIGRAD,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Good (more than 170)
5545,Trawler,Smelne power boats,Used boat,2001,11.75,3.9,Steel,68,169900.0,Netherlands," Niet in verkoophaven, bezichtiging op afspraak",,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5546,Flybridge,Cranchi power boats,"Used boat,Diesel",2011,11.83,3.83,GRP,110,169500.0,Spain, Mallorca ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5549,Cabin Boat,Linex power boats,"Used boat,Diesel",2011,10.1,3.15,GRP,154,169500.0,Germany, Nordsee ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5550,Classic,Grand Banks power boats,"Used boat,Diesel",1973,14.02,3.33,Wood,171,169000.0,Croatia(Hrvatska),None,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Good (more than 170)
5552,Flybridge,Sealine power boats,"Used boat,Diesel",2002,13.24,4.16,GRP,154,169000.0,Netherlands, In verkoophaven,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5553,Flybridge,Mochi Craft power boats,"Used boat,Diesel",1991,16.5,4.73,GRP,120,169000.0,Italy, Veneto ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5554,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2007,12.0,4.0,GRP,40,169000.0,Other,None,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5555,Motor Yacht,Super van Craft power boats,Used boat,1983,16.2,4.35,Steel,67,169000.0,Netherlands, Meppel,,Used,Very Old (built before 2000),Expensive (more than 250000),Low (less than 70)
5556,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2004,14.76,4.2,GRP,151,169000.0,Spain, Murcia,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5557,Motor Yacht,BÃ©nÃ©teau power boats,Used boat,2006,15.1,4.49,GRP,69,169000.0,Italy, Adria,,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5558,Flybridge,Azimut power boats,"Used boat,Diesel",2000,14.65,4.4,PVC,72,169000.0,Spain," D©nia, Espagne",Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5559,Motor Yacht,Sealine power boats,"Used boat,Diesel",2005,12.56,4.06,GRP,111,169000.0,Spain, Alicante,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5560,Trawler,Smelne power boats,Used boat,2000,13.0,4.0,Steel,57,169000.0,Netherlands," Niet in verkoophaven, bezichtiging op afspraak.",,Used,Very Old (built before 2000),Expensive (more than 250000),Low (less than 70)
5561,Flybridge,Neptunus power boats,"Used boat,Diesel",1999,11.7,3.85,GRP,87,169000.0,Germany, Elsfleth,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5562,Motor Yacht,Sealine power boats,"Used boat,Diesel",2000,15.67,4.58,GRP,120,169000.0,Spain, Mallorca ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5563,Motor Yacht,Albemarle power boats,"Used boat,Diesel",2007,12.5,4.8,GRP,42,168000.0,Germany, Greifswald,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5564,Flybridge,Intermare power boats,"Used boat,Diesel",2004,12.0,4.05,GRP,47,168000.0,Italy, Friuli-Venezia Giulia,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5565,Motor Yacht,Albemarle power boats,"Used boat,Diesel",2006,12.5,4.8,GRP,54,168000.0,Germany, Ostsee ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5566,Motor Yacht,Albemarle power boats,"Used boat,Diesel",2006,12.5,4.8,GRP,56,168000.0,Germany, Ostsee ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5568,Pilothouse,Jeanneau power boats,new boat from stock,2020,8.18,3.02,GRP,82,179124.66,UnitedKingdom," Swanwick, Swanwick",,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5569,Motor Yacht,Bavaria power boats,new boat from stock,2020,10.94,3.31,GRP,148,161967.0,Denmark, Ab v¦rft,,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5570,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,15.33,4.32,GRP,62,167000.0,Italy, Friuli Venezia Giulia ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5571,Flybridge,Cranchi power boats,"Used boat,Diesel",2008,11.83,3.83,GRP,50,167000.0,Italy, Friuli Venezia Giulia ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5572,Flybridge,Princess power boats,"Used boat,Diesel",1997,13.05,4.17,GRP,265,167000.0,Germany, Berlin ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Good (more than 170)
5573,Motor Yacht,Sealine power boats,"Used boat,Diesel",2000,11.46,3.78,GRP,287,183600.0,Germany, Regensburg ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Good (more than 170)
5574,Motor Yacht,Sessa power boats,new boat from stock,2020,11.2,3.3,GRP,134,166000.0,Italy, Toscana ,,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5575,Flybridge,Sealine power boats,"Used boat,Diesel",2007,11.74,3.78,GRP,159,166000.0,Other, Fussach,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5576,Center console boat,De Antonio Yachts power boats,"new boat on order,Unleaded",2020,10.2,3.4,GRP,115,165900.0,Switzerland, Lake Geneva ,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5578,Sport Boat,XO Boats power boats,"Used boat,Unleaded",2018,8.6,2.6,Aluminium,265,182580.0,Switzerland, Vierwaldst¤ttersee ,Unleaded,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5579,House Boat,Linssen power boats,"Used boat,Diesel",1998,10.1,3.45,Steel,806,182580.0,Switzerland, Neuenburgersee ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Good (more than 170)
5580,Deck Boat,Invictus power boats,new boat from stock,2020,8.9,2.84,GRP,111,165490.0,Other,None,,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5581,Flybridge,Azimut power boats,"Used boat,Diesel",1997,14.6,4.42,GRP,77,165000.0,Italy, Campania ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5582,Motor Yacht,Linex power boats,"Used boat,Diesel",2018,10.1,3.15,GRP,115,165000.0,Italy, Liguria ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5583,Center console boat,Gobbi power boats,"Used boat,Diesel",2007,12.0,4.05,GRP,159,165000.0,Other,None,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5584,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2008,14.19,4.1,GRP,129,165000.0,Italy, Friuli-Venezia Giulia,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5585,Flybridge,Rio power boats,Used boat,2016,10.0,3.3,GRP,74,165000.0,Italy, Mar Tirreno,,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5586,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2007,13.36,4.16,PVC,117,165000.0,France," Cogolin, France",Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5587,Sport Boat,Formula power boats,"Used boat,Diesel",2009,11.43,3.63,PVC,56,165000.0,Spain," SAN ANTONIO , Espagne",Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5588,Hardtop,Jeanneau power boats,"Used boat,Diesel",2011,10.55,3.73,PVC,55,165000.0,Other," ATHENS, Gr¨ce",Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5589,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2006,13.7,4.22,GRP,156,165000.0,Spain, INFO DD-YACHTING,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5590,Hardtop,Airon Marine power boats,"Used boat,Diesel",2007,13.45,3.74,PVC,79,165000.0,France," villeneuve loubet, MARINA BAIE DES ANGES",Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5592,Offshore Boat,Magnum power boats,"Used boat,Diesel",1990,12.24,3.75,GRP,109,165000.0,Italy, Sardegna ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5593,Flybridge,Fairline power boats,"Used boat,Diesel",1996,15.8,4.47,GRP,89,165000.0,Italy, Aprilia Marittima di Latisana (UD),Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5594,Motor Yacht,Princess power boats,"Used boat,Diesel",2000,17.04,4.27,GRP,114,165000.0,Italy, Puglia,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5595,Flybridge,Raffaelli power boats,"Used boat,Diesel",2001,15.83,4.3,GRP,117,165000.0,Italy, Mare Adriatico,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5596,Flybridge,BÃ©nÃ©teau power boats,Used boat,2010,11.37,3.85,GRP,190,165000.0,Other,None,,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5597,Motor Yacht,Galeon power boats,"Used boat,Diesel",2007,11.0,3.0,GRP,104,165000.0,Other,None,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5599,Sport Boat,Boesch power boats,"Used boat,Electric",2008,6.2,2.2,Wood,129,165000.0,Germany, Ammersee ,Electric,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5600,Motor Yacht,BÃ©nÃ©teau power boats,"new boat on order,Unleaded",2021,11.16,3.49,GRP,173,164790.0,Germany, Gersthofen - Augsburg,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Good (more than 170)
5601,Deck Boat,BÃ©nÃ©teau power boats,new boat from stock,2020,9.98,3.35,GRP,130,164750.0,Germany, Baden-W¼rttemberg ,,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5603,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2007,15.11,4.45,PVC,100,164500.0,Other, Fort-de-France,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5604,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2020,9.22,3.0,PVC,39,175441.5,UnitedKingdom," Lincoln, Lincoln",Diesel,new,Modern (built after 2018),Expensive (more than 250000),Low (less than 70)
5605,Motor Yacht,Atlantic Motor Yachts power boats,"Used boat,Diesel",2001,13.11,4.27,GRP,83,175383.0,Other,None,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5606,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2007,12.8,4.1,GRP,333,164000.0,Germany, Baden-W¼rttemberg ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5608,Pilothouse,Jeanneau power boats,new boat from stock,2020,9.14,3.02,GRP,78,173925.18,UnitedKingdom," Swanwick, Royaume Uni",,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5609,Pilothouse,Minor power boats,"Used boat,Diesel",2011,9.7,3.2,GRP,248,163000.0,Germany, Nordsee ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5610,Motor Yacht,Fairline power boats,"Used boat,Diesel",2000,13.78,3.8,GRP,229,163000.0,Germany, Berlin ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Good (more than 170)
5611,Motor Yacht,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,11.16,3.49,GRP,136,162990.0,Other, Wiener Neustadt,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5612,Motor Yacht,Jeanneau power boats,Used boat,2017,10.57,3.21,PVC,96,162000.0,Other,None,,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5613,Sport Boat,Marino power boats,"Used boat,Diesel",2013,8.2,2.9,GRP,128,178500.0,Switzerland, Lake Constance ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5614,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2020,8.0,2.54,GRP,69,161751.0,France," MANDELIEU LA NAPOULE, France",Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Low (less than 70)
5615,Flybridge,Marine Offshore power boats,Used boat,1999,14.5,4.65,GRP,70,156000.0,Denmark, stjylland,,Used,Very Old (built before 2000),Expensive (more than 250000),Low (less than 70)
5616,Sport Boat,Cormate power boats,"new boat from stock,Unleaded",2018,8.46,2.55,GRP,190,161000.0,Switzerland, Lake Constance ,Unleaded,new,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5617,Sport Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,9.23,3.0,PVC,120,160660.0,Other,None,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5618,Sport Boat,Jeanneau power boats,"new boat from stock,Diesel",2020,9.23,3.0,PVC,89,160575.0,Other,None,Diesel,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5619,Cabin Boat,Invictus power boats,"new boat from stock,Unleaded",2019,8.9,2.84,GRP,162,160180.0,Germany, Baden-W¼rttemberg ,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5620,Hardtop,Cabo power boats,"Used boat,Diesel",2002,11.47,3.96,GRP,34,160000.0,Italy, Sardegna ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Low (less than 70)
5621,Hardtop,Primatist power boats,"Used boat,Diesel",2008,12.4,4.06,GRP,91,160000.0,Italy, Campania ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5622,Motor Yacht,Azimut power boats,"Used boat,Diesel",1999,14.91,4.4,GRP,188,160000.0,Italy, Adria Meer,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Good (more than 170)
5623,Fishing Boat,Riviera power boats,"Used boat,Diesel",2007,11.73,3.84,GRP,327,160000.0,Italy, Liguria ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5624,Motor Yacht,Azimut power boats,"Used boat,Diesel",2001,14.6,4.42,GRP,86,160000.0,Italy, Campania ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5625,Hardtop,Cantieri di Sarnico power boats,"Used boat,Diesel",2000,14.54,4.3,GRP,110,160000.0,Italy, Lazio ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Average (70-170)
5627,Motor Yacht,Bavaria power boats,"Display Model,Unleaded",2020,8.95,2.99,GRP,278,160000.0,Germany, Lake Constance ,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Good (more than 170)
5628,Center console boat,Cranchi power boats,"Used boat,Diesel",2008,11.95,4.13,GRP,206,160000.0,Italy, Mare Adriatico,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Good (more than 170)
5629,Motor Yacht,Sessa power boats,"Used boat,Diesel",2011,9.93,3.45,GRP,98,160000.0,Italy, Toscana ,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5631,Trawler,Brandsma power boats,Used boat,2011,10.3,3.7,GRP,87,159950.0,Netherlands, Sneek,,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5632,Hardtop,Conam power boats,"Used boat,Diesel",2006,14.02,4.4,GRP,126,159900.0,Italy, I S¼d,Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5633,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2013,12.32,3.77,PVC,111,159900.0,France," Ajaccio, France",Diesel,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5634,Cabin Boat,Jeanneau power boats,"new boat on order,Unleaded",2020,8.9,2.99,GRP,88,159900.0,Germany, Bayern ,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5635,Cabin Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,10.45,3.37,GRP,169,159900.0,Germany, Bayern ,Unleaded,new,Modern (built after 2018),Expensive (more than 250000),Average (70-170)
5636,Motor Yacht,Neptunus Yachts power boats,"Used boat,Diesel",1996,12.9,4.2,GRP,207,159900.0,Germany, Hamburg ,Diesel,Used,Very Old (built before 2000),Expensive (more than 250000),Good (more than 170)
5637,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2009,10.82,3.5,GRP,116,159500.0,Germany, Elbe,Unleaded,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
5640,Working Boat,Stormer power boats,Used boat,2014,9.5,2.99,Aluminium,107,159500.0,Netherlands, Zaandam,,Used,Old (built between 2000-2017),Expensive (more than 250000),Average (70-170)
