,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR_price,Country,City,Engine Type,Condition,age_group,Price_groub,Views Performance
928,Center console boat,Four Winns power boats,"Used boat,Diesel",2001,8.54,3.2,GRP,138,45000.0,Italy, Liguria ,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
929,Cabin Boat,Selva power boats,"Used boat,Unleaded",2017,6.98,2.53,GRP,252,50989.8,Switzerland, Lago Maggiore ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
930,Fishing Boat,EdgeWater power boats,"new boat on order,Unleaded",2020,5.7,2.3,GRP,201,50967.36,Switzerland, Villarepos,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
931,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,6.48,2.46,GRP,62,46200.0,Germany, Niedersachsen ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
932,Classic,Boesch power boats,"Used boat,Unleaded",1989,5.3,2.12,Wood,363,50898.0,Switzerland, Lago Maggiore ,Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
933,Cabin Boat,Selection Boats power boats,"new boat from stock,Unleaded",2018,5.7,2.5,GRP,209,50898.0,Switzerland, Lake Geneva ,Unleaded,new,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
934,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",2015,6.64,2.55,GRP,387,50898.0,Switzerland, Lake Geneva ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
935,Sport Boat,Colombo power boats,"Used boat,Unleaded",0,8.85,2.75,GRP,228,50898.0,Switzerland, Niederurnen ,Unleaded,Used,,Medium (44290-250000),Good (more than 170)
936,Bowrider,Campion power boats,"new boat from stock,Unleaded",2020,6.1,2.34,GRP,234,50898.0,Switzerland, Vierwaldst¤ttersee ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Good (more than 170)
937,Offshore Boat,Tullio Abbate power boats,"Used boat,Unleaded",1985,10.8,2.6,GRP,810,50898.0,Switzerland, Zugersee ,Unleaded,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
938,Cabin Boat,Quicksilver power boats,"new boat on order,Unleaded",0,6.48,2.46,GRP,74,46070.0,Other,None,Unleaded,new,,Medium (44290-250000),Average (70-170)
939,Bowrider,Ranieri International power boats,new boat from stock,0,8.05,2.5,GRP,225,50796.0,Switzerland, Bielersee ,,new,,Medium (44290-250000),Good (more than 170)
940,Motor Yacht,Monterey power boats,"Used boat,Unleaded",2005,8.8,2.8,GRP,207,46000.0,Spain, INFO DD-YACHTING,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
941,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2017,7.39,2.66,PVC,32,46000.0,France," SAINTE MARINE, BENODET",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
942,Motor Yacht,Azimut power boats,"Used boat,Diesel",1989,11.02,3.96,GRP,110,46000.0,Italy, Nord Adria,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
943,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2016,7.25,2.81,Steel,38,46000.0,France," 56170 QUIBERON, France",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
944,Center console boat,Scanner power boats,Used boat,2019,7.07,2.85,GRP,82,46000.0,Croatia(Hrvatska), onbekend,,Used,Modern (built after 2018),Medium (44290-250000),Average (70-170)
945,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,6.99,2.56,GRP,97,47100.0,Germany, Niedersachsen ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
946,Cabin Boat,Selva power boats,"new boat from stock,Unleaded",2020,6.4,2.38,GRP,156,51918.0,Switzerland, Lago Maggiore ,Unleaded,new,Modern (built after 2018),Medium (44290-250000),Average (70-170)
947,Classic,Tresfjord power boats,"Used boat,Diesel",1985,10.0,3.5,GRP,272,45500.0,Denmark, Mittelj¼tland ,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
948,Deck Boat,Pursuit power boats,"Used boat,Unleaded",2005,9.14,2.9,GRP,55,47000.0,Italy, Sardegna ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
949,Sport Boat,Scanner power boats,"Used boat,Diesel",2005,8.5,3.0,GRP,64,47000.0,Spain, Mallorca ,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
950,Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2016,7.62,2.67,PVC,39,47000.0,France," PORNIC, France",Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
951,Bowrider,Fiart Mare power boats,"Used boat,Diesel",2008,8.73,2.78,PVC,144,47000.0,France," MENTON, France",Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
952,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2005,9.28,2.98,GRP,138,47000.0,Croatia(Hrvatska), KROATIEN,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
953,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2006,8.95,2.95,GRP,215,47000.0,Italy, Lombardia - Trentino Alto Adige ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Good (more than 170)
954,Flybridge,Ocqueteau power boats,"Used boat,Diesel",2002,9.02,3.4,PVC,160,47000.0,Other,None,Diesel,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
955,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.31,2.48,GRP,31,47000.0,France," GRANVILLE, France",Unleaded,new,Modern (built after 2018),Medium (44290-250000),Low (less than 70)
956,Flybridge,Riviera power boats,"Used boat,Diesel",1995,9.25,3.25,GRP,243,47000.0,Croatia(Hrvatska), INFO DD-YACHTING,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
957,Sport Boat,Parker power boats,"new boat from stock,Unleaded",0,7.45,2.55,GRP,82,46955.0,Germany, Hamburg ,Unleaded,new,,Medium (44290-250000),Average (70-170)
958,Trawler,Hollandia power boats,Used boat,0,10.0,3.3,Steel,54,46950.0,Netherlands, In verkoophaven,,Used,,Medium (44290-250000),Low (less than 70)
959,Pilothouse,Quicksilver power boats,Used boat,2015,6.55,2.54,GRP,100,45370.0,Denmark, Sydsj¦lland,,Used,Old (built between 2000-2017),Medium (44290-250000),Average (70-170)
960,Sport Boat,Conam power boats,Used boat,1997,11.98,3.5,GRP,109,48000.0,Italy, Campania ,,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
961,Center console boat,Rio power boats,"Used boat,Unleaded",2006,9.5,3.05,GRP,37,48000.0,Italy, Emilia Romagna ,Unleaded,Used,Old (built between 2000-2017),Medium (44290-250000),Low (less than 70)
962,Motor Yacht,Vri-Jon power boats,"Used boat,Diesel",1994,13.55,3.99,Steel,205,48000.0,Germany, nahe Saarbr¼cken(Frankreich),Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Good (more than 170)
963,Flybridge,Gobbi power boats,"Used boat,Diesel",1989,10.5,2.9,GRP,108,48000.0,Italy, Veneto ,Diesel,Used,Very Old (built before 2000),Medium (44290-250000),Average (70-170)
