Date,Open,High,Low,Close,Adj Close,Volume
2/8/2022,3.85,4.69,3.825,4.65,4.65,10438300
2/9/2022,4.72,5.09,4.54,4.98,4.98,11509300
2/10/2022,4.81,5.476,4.8,5.11,5.11,9701300
2/11/2022,5.09,5.18,4.72,4.79,4.79,6532100
2/14/2022,4.8,5.019,4.7,4.76,4.76,4750500
2/15/2022,5.15,6.17,5.135,6.04,6.04,18367500
2/16/2022,6.18,6.2,5.53,5.55,5.55,10404500
2/17/2022,5.13,5.42,4.935,5.05,5.05,7569900
2/18/2022,5.12,5.44,4.73,4.76,4.76,8530100
2/22/2022,4.73,5.265,4.67,4.92,4.92,9718100
2/23/2022,4.98,5.05,4.43,4.49,4.49,9114100
2/24/2022,4.15,4.76,4.12,4.74,4.74,9026700
2/25/2022,4.78,4.96,4.57,4.8,4.8,4514500
2/28/2022,4.79,5.405,4.78,5.14,5.14,5919500
3/1/2022,5.07,5.245,4.99,5.12,5.12,4656600
3/2/2022,5.08,5.12,4.82,5.01,5.01,4523100
3/3/2022,5.05,5.077,4.55,4.68,4.68,4131600
3/4/2022,4.66,4.87,4.58,4.63,4.63,4334100
3/7/2022,4.71,5.12,4.71,4.84,4.84,7741600
3/8/2022,4.81,5.1,4.66,4.88,4.88,6620000
3/9/2022,5.01,5.269,4.86,4.9,4.9,5074700
3/10/2022,4.85,4.948,4.665,4.74,4.74,4557300
3/11/2022,4.8,4.96,4.465,4.51,4.51,6189200
3/14/2022,4.51,4.595,4.21,4.26,4.26,5218900
3/15/2022,4.28,4.97,4.28,4.87,4.87,6801400
3/16/2022,4.92,5.3,4.855,5.12,5.12,8705900
3/17/2022,5.01,5.57,4.98,5.5,5.5,6722900
3/18/2022,5.46,5.84,5.45,5.66,5.66,7869500
3/21/2022,5.58,5.675,5.41,5.5,5.5,5422200
3/22/2022,5.58,5.96,5.578,5.72,5.72,5498900
3/23/2022,5.74,5.83,5.451,5.56,5.56,5410100
3/24/2022,5.68,5.76,5.21,5.33,5.33,7576600
3/25/2022,5.57,6.56,5.53,5.98,5.98,22315500
3/28/2022,6.07,6.09,5.54,5.71,5.71,7292300
3/29/2022,5.8,6.82,5.8,6.74,6.74,11767200
3/30/2022,6.58,7.039,6.23,6.81,6.81,7899100
3/31/2022,6.8,6.86,6.59,6.62,6.62,4081300
4/1/2022,6.74,6.79,6.415,6.47,6.47,5798200
4/4/2022,6.53,6.55,6.03,6.19,6.19,6504300
4/5/2022,6.46,6.64,5.81,5.91,5.91,12395500
4/6/2022,5.74,6.048,5.57,5.64,5.64,8003500
4/7/2022,5.6,5.76,5.225,5.43,5.43,5788400
4/8/2022,5.45,5.49,5.24,5.27,5.27,5503100
4/11/2022,5.17,5.43,5.07,5.15,5.15,4484200
4/12/2022,5.22,5.28,4.95,5.05,5.05,6143000
4/13/2022,5.1,5.41,5.09,5.38,5.38,4842900
4/14/2022,5.33,5.43,5.08,5.2,5.2,5792300
4/18/2022,5.36,5.46,5.18,5.32,5.32,6279300
4/19/2022,5.4,5.475,5.12,5.39,5.39,4165600
4/20/2022,5.4,5.49,5.33,5.48,5.48,4387900
4/21/2022,5.6,5.69,5.145,5.18,5.18,5246300
4/22/2022,5.16,5.23,4.88,4.97,4.97,6104500
4/25/2022,4.97,5.41,4.93,5.31,5.31,6474600
4/26/2022,5.23,5.33,4.95,4.95,4.95,6057500
4/27/2022,5.02,5.25,4.97,5.16,5.16,5282900
4/28/2022,5.21,5.38,4.91,5.34,5.34,6708900
4/29/2022,5.29,5.479,5.2,5.24,5.24,5050300
5/2/2022,5.23,5.381,5.095,5.36,5.36,4757600
5/3/2022,5.32,5.499,5.28,5.43,5.43,3509900
5/4/2022,5.41,5.55,5.17,5.53,5.53,4223400
5/5/2022,5.43,5.62,5.19,5.28,5.28,3891200
5/6/2022,5.2,5.34,4.995,5.33,5.33,5861800
5/9/2022,5.15,5.2,4.64,4.67,4.67,8481200
5/10/2022,4.89,4.92,4.372,4.57,4.57,7582000
5/11/2022,4.42,4.6,4.1,4.16,4.16,9847500
5/12/2022,4.15,4.55,3.94,4.43,4.43,8785100
5/13/2022,4.6,5.43,4.6,5.33,5.33,10358700
5/16/2022,5.16,5.71,5.12,5.49,5.49,9597100
5/17/2022,5.5,5.65,5.32,5.63,5.63,8129700
5/18/2022,5.44,5.69,5.38,5.46,5.46,5242300
5/19/2022,5.43,5.66,5.36,5.47,5.47,6747200
5/20/2022,5.49,5.51,4.98,5.26,5.26,6110300
5/23/2022,5.24,5.32,4.935,5.32,5.32,4794900
5/24/2022,5.17,5.245,4.97,5.16,5.16,5351700
5/25/2022,5.14,5.319,5.115,5.25,5.25,2675500
5/26/2022,5.65,5.69,5.31,5.67,5.67,14974100
5/27/2022,5.6,6.08,5.55,6.01,6.01,7631200
5/31/2022,6,6.07,5.87,5.9,5.9,5833000
6/1/2022,5.94,5.985,5.74,5.91,5.91,4097500
6/2/2022,5.95,6.205,5.91,6.09,6.09,7473800
6/3/2022,6.01,6.09,5.775,5.92,5.92,4927600
6/6/2022,6.01,6.05,5.09,5.09,5.09,11013200
6/7/2022,5.18,5.28,5.01,5.15,5.15,5412600
6/8/2022,5.23,5.66,5.23,5.29,5.29,6995800
6/9/2022,5.3,5.305,4.94,4.95,4.95,6085600
6/10/2022,4.88,5.05,4.82,4.97,4.97,5137600
6/13/2022,4.8,4.98,4.63,4.83,4.83,8027800
6/14/2022,4.89,4.92,4.71,4.82,4.82,5807200
6/15/2022,4.81,5.06,4.76,4.88,4.88,7205500
6/16/2022,4.75,4.891,4.6,4.64,4.64,6404300
6/17/2022,4.68,5.03,4.67,4.99,4.99,8587900
6/21/2022,5,5.375,4.98,5.01,5.01,6635500
6/22/2022,4.95,5.2,4.92,5.08,5.08,4986200
6/23/2022,5.1,5.37,5.06,5.36,5.36,3935300
6/24/2022,5.43,5.53,5.2,5.2,5.2,31984600
6/27/2022,5.21,5.25,4.96,5.02,5.02,4335300
6/28/2022,5.02,5.18,4.905,5.16,5.16,3176800
6/29/2022,5.09,5.11,4.69,4.69,4.69,6218400
6/30/2022,4.75,4.93,4.67,4.91,4.91,4130800
7/1/2022,4.87,4.94,4.75,4.9,4.9,2446200
7/5/2022,4.9,5.12,4.7,5.11,5.11,3501100
7/6/2022,5.06,5.18,4.99,5.04,5.04,2466300
7/7/2022,5.07,5.175,5.025,5.1,5.1,3549900
7/8/2022,5.04,5.21,5,5.11,5.11,2582200
7/11/2022,5.06,5.15,4.85,4.89,4.89,2634800
7/12/2022,4.92,5.13,4.86,5.11,5.11,2918500
7/13/2022,4.97,5.2,4.92,5.14,5.14,2382600
7/14/2022,5.04,5.269,4.99,5.14,5.14,3074200
7/15/2022,5.28,5.28,4.99,5.26,5.26,2393700
7/18/2022,5.4,5.57,5.29,5.3,5.3,3981000
7/19/2022,5.32,5.67,5.275,5.65,5.65,3629900
7/20/2022,5.6,5.67,5.42,5.53,5.53,2870000
7/21/2022,5.53,5.595,5.43,5.53,5.53,2461000
7/22/2022,5.54,5.555,5.17,5.23,5.23,2648200
7/25/2022,5.33,5.35,5.14,5.3,5.3,2488700
7/26/2022,5.25,5.27,5.135,5.17,5.17,1659900
7/27/2022,5.26,5.44,5.221,5.42,5.42,2096100
7/28/2022,5.43,5.67,5.41,5.58,5.58,3281500
7/29/2022,5.54,5.58,5.415,5.54,5.54,2580200
8/1/2022,5.47,5.5,5.335,5.47,5.47,2245500
8/2/2022,5.4,5.95,5.35,5.87,5.87,4616800
8/3/2022,5.93,6.22,5.85,6.16,6.16,3610400
8/4/2022,6.16,7.03,6.13,6.96,6.96,7802000
8/5/2022,6.74,7.03,6.59,6.67,6.67,6265500
8/8/2022,6.76,7.15,6.38,6.4,6.4,5182900
8/9/2022,6.38,6.519,6,6.06,6.06,4089500
8/10/2022,6.2,6.26,5.86,5.96,5.96,7270200
8/11/2022,6.08,6.58,5.95,6.16,6.16,6991900
8/12/2022,6.33,6.65,6.11,6.55,6.55,5429700
8/15/2022,6.52,6.75,6.14,6.19,6.19,5148000
8/16/2022,6.1,6.27,5.92,6.09,6.09,5520100
8/17/2022,5.96,6.12,5.86,5.99,5.99,3882000
8/18/2022,5.97,6.02,5.88,5.93,5.93,2684300
8/19/2022,5.76,5.815,5.61,5.64,5.64,4107200
8/22/2022,5.55,5.63,5.43,5.51,5.51,3626300
8/23/2022,5.5,5.59,5.26,5.3,5.3,3891100
8/24/2022,5.36,5.46,5.29,5.38,5.38,2893200
8/25/2022,5.5,5.55,5.4,5.52,5.52,2221900
8/26/2022,5.53,5.54,5.281,5.42,5.42,3493300
8/29/2022,5.31,5.48,5.31,5.44,5.44,3328900
8/30/2022,5.48,5.65,5.39,5.51,5.51,3182700
8/31/2022,5.62,5.64,5.3,5.3,5.3,3166200
9/1/2022,5.24,5.35,5.16,5.34,5.34,2149700
9/2/2022,5.36,5.41,5.195,5.23,5.23,2249900
9/6/2022,5.25,5.38,5.22,5.27,5.27,2104800
9/7/2022,5.21,5.5,5.19,5.45,5.45,1884900
9/8/2022,5.36,5.47,5.31,5.47,5.47,1423200
9/9/2022,5.5,5.7,5.49,5.65,5.65,2328900
9/12/2022,5.69,5.85,5.63,5.84,5.84,4337600
9/13/2022,5.54,5.82,5.51,5.63,5.63,2612700
9/14/2022,5.63,5.83,5.47,5.76,5.76,2853500
9/15/2022,5.72,6.06,5.591,5.76,5.76,3365400
9/16/2022,5.62,5.63,5.46,5.48,5.48,3335800
